
Gurobi 12.0.3 (win64) logging started Sun Aug 23 21:58:13 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_agosto\Costo_variable\Swap_restringido\Swap_variable_3estaciones_160kW_Descomp\station_2_d121_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26933 rows, 54733 columns and 250282 nonzeros
Model fingerprint: 0x52f2bee3
Variable types: 2129 continuous, 52604 integer (19481 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [8e-03, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25547 rows and 45437 columns
Presolve time: 0.13s
Presolved: 1386 rows, 9296 columns, 31250 nonzeros
Variable types: 216 continuous, 9080 integer (8676 binary)
Root relaxation presolved: 1386 rows, 9296 columns, 31250 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.774099e+05, 4344 iterations, 0.06 seconds (0.08 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 19259 15631 290001.602   90   15 309503.268 290001.602  6.30%  31.0  850s
 19378 15711 290001.602   96   15 309503.268 290001.602  6.30%  31.0  855s
 19519 15805 290001.602   90   19 309503.268 290001.602  6.30%  31.0  860s
 19648 15891 290001.602   93   13 309503.268 290001.602  6.30%  31.0  865s
 19750 15959 290001.602  112   33 309503.268 290001.602  6.30%  30.9  870s
 19875 16042 290001.602  121   19 309503.268 290001.602  6.30%  30.9  875s
 20017 16137 290001.602  103   13 309503.268 290001.602  6.30%  30.8  880s
 20107 16197 290001.602  114   15 309503.268 290001.602  6.30%  30.7  885s
 20242 16287 290001.602  115   44 309503.268 290001.602  6.30%  30.6  890s
 20391 16386 290001.602  113   13 309503.268 290001.602  6.30%  30.6  895s
 20539 16485 290001.602  154   35 309503.268 290001.602  6.30%  30.4  900s
 20596 16523 290001.602  167   13 309503.268 290001.602  6.30%  30.4  905s
 20741 16619 290001.602  192   12 309503.268 290001.602  6.30%  30.4  910s
 20908 16731 290001.602  214   11 309503.268 290001.602  6.30%  30.3  915s
 21101 16859 290001.602  234   11 309503.268 290001.602  6.30%  30.2  920s
 21235 16949 290001.602  245   11 309503.268 290001.602  6.30%  30.2  925s
 21403 17061 290001.602  260   11 309503.268 290001.602  6.30%  30.1  930s
 21592 17187 290001.602  263   33 309503.268 290001.602  6.30%  30.0  935s
 21730 17279 290001.602  260   37 309503.268 290001.602  6.30%  29.9  941s
 21889 17383 290001.602  270   11 309503.268 290001.602  6.30%  29.8  945s
 22075 17505 290001.602  278   10 309503.268 290001.602  6.30%  29.7  950s
 22201 17589 290001.602  255   13 309503.268 290001.602  6.30%  29.7  955s
 22393 17717 290001.602  261   11 309503.268 290001.602  6.30%  29.6  960s
 22548 17820 290001.602  264   13 309503.268 290001.602  6.30%  29.5  965s
 22718 17933 290001.602  262   25 309503.268 290001.602  6.30%  29.5  970s
 22925 18067 290001.602  264   15 309503.268 290001.602  6.30%  29.4  975s
 23119 18197 290001.602  281   11 309503.268 290001.602  6.30%  29.3  981s
 23238 18274 290001.602  266   10 309503.268 290001.602  6.30%  29.2  985s
 23436 18406 290001.602  261   11 309503.268 290001.602  6.30%  29.1  990s
 23638 18535 290001.602  271   15 309503.268 290001.602  6.30%  29.0  995s
 23833 18665 290001.602  268   21 309503.268 290001.602  6.30%  28.9 1000s
 24049 18807 290001.602  259   15 309503.268 290001.602  6.30%  28.8 1005s
 24166 18883 290001.602  270   11 309503.268 290001.602  6.30%  28.8 1010s
 24379 19023 290001.602  257   11 309503.268 290001.602  6.30%  28.7 1015s
 24584 19153 290001.602  274   19 309503.268 290001.602  6.30%  28.6 1020s
 24792 19290 290001.602  270   11 309503.268 290001.602  6.30%  28.5 1025s
 24925 19379 290001.602  273   11 309503.268 290001.602  6.30%  28.4 1030s
 25128 19512 290001.602  270   11 309503.268 290001.602  6.30%  28.3 1035s
 25265 19599 290001.602  276   11 309503.268 290001.602  6.30%  28.3 1040s
 25470 19728 290001.602  276   11 309503.268 290001.602  6.30%  28.2 1045s
 25654 19847 290001.602  279   15 309503.268 290001.602  6.30%  28.1 1050s
 25845 19970 290001.602  278   10 309503.268 290001.602  6.30%  28.0 1055s
 25944 20032 290001.602  269   11 309503.268 290001.602  6.30%  28.0 1060s
 26155 20171 290001.602  273   25 309503.268 290001.602  6.30%  27.9 1065s
 26343 20296 290001.602  284   12 309503.268 290001.602  6.30%  27.8 1070s
 26525 20417 290001.602  273   11 309503.268 290001.602  6.30%  27.7 1075s
 26663 20509 290001.602  277   17 309503.268 290001.602  6.30%  27.6 1080s
 26891 20657 290001.602  238   11 309503.268 290001.602  6.30%  27.5 1085s
 27101 20797 290001.602  251   11 309503.268 290001.602  6.30%  27.5 1090s
 27225 20880 290001.602  256   15 309503.268 290001.602  6.30%  27.5 1095s
 27424 21011 290001.602  276   11 309503.268 290001.602  6.30%  27.4 1100s
 27613 21137 290001.602  274   39 309503.268 290001.602  6.30%  27.4 1105s
 27829 21281 290001.602  267   13 309503.268 290001.602  6.30%  27.4 1110s
 28029 21412 290001.602  267   11 309503.268 290001.602  6.30%  27.3 1115s
 28211 21533 290001.602  272   11 309503.268 290001.602  6.30%  27.2 1120s
 28423 21665 290001.602  288   11 309503.268 290001.602  6.30%  27.1 1125s
 28530 21736 290001.602  268   11 309503.268 290001.602  6.30%  27.1 1130s
 28738 21875 290001.602  272   21 309503.268 290001.602  6.30%  27.0 1135s
 28943 22011 290001.602  272   13 309503.268 290001.602  6.30%  26.9 1140s
 29152 22151 290001.602  266   11 309503.268 290001.602  6.30%  26.8 1145s
 29263 22225 290001.602  276   13 309503.268 290001.602  6.30%  26.8 1150s
