
Gurobi 12.0.3 (win64) logging started Tue Sep  8 00:41:20 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_353\Costo_variable\Swap_restringido\Swap_variable_3estaciones_320kW_Descomp\station_2_d32_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26902 rows, 54733 columns and 249037 nonzeros
Model fingerprint: 0x05979cf1
Variable types: 2129 continuous, 52604 integer (19481 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [3e-03, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25538 rows and 45427 columns
Presolve time: 0.17s
Presolved: 1364 rows, 9306 columns, 29293 nonzeros
Variable types: 216 continuous, 9090 integer (8776 binary)
Found heuristic solution: objective 616614.88775
Root relaxation presolved: 1364 rows, 9306 columns, 29293 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.010149e+05, 4215 iterations, 0.06 seconds (0.07 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  7733  7004 201754.647  150   13 284591.712 201754.647  29.1%  53.6  465s
  7884  7155 201754.647  158   13 284591.712 201754.647  29.1%  52.9  470s
  8020  7285 201754.647  155   17 284591.712 201754.647  29.1%  52.5  475s
  8188  7452 201754.647  158   19 284591.712 201754.647  29.1%  51.9  480s
  8354  7616 201754.647  163   11 284591.712 201754.647  29.1%  51.3  485s
  8501  7762 201754.647  180   11 284591.712 201754.647  29.1%  50.7  490s
H 8621  7875                    284591.71152 201754.647  29.1%  50.5  499s
  8642  7898 201754.647  191   13 284591.712 201754.647  29.1%  50.4  500s
  8782  8030 201754.647  196   11 284591.712 201754.647  29.1%  50.3  505s
  8944  8174 201754.647  215   11 284591.712 201754.647  29.1%  50.1  510s
  9128  8352 201754.647   93   13 284591.712 201754.647  29.1%  49.7  515s
  9289  8513 201754.647  104   13 284591.712 201754.647  29.1%  49.2  520s
  9430  8654 201754.647  114   13 284591.712 201754.647  29.1%  48.7  525s
  9592  8816 201754.647  107   13 284591.712 201754.647  29.1%  48.2  530s
  9758  8982 201754.647  100   19 284591.712 201754.647  29.1%  47.7  535s
  9905  9129 201754.647   97   11 284591.712 201754.647  29.1%  47.2  540s
 10080  9304 201754.647  111   11 284591.712 201754.647  29.1%  46.7  545s
 10213  9437 201754.647  111   13 284591.712 201754.647  29.1%  46.4  550s
 10349  9573 201754.647   98   13 284591.712 201754.647  29.1%  46.0  555s
 10507  9731 201754.647  102   11 284591.712 201754.647  29.1%  45.6  560s
 10588  9812 201754.647  110   11 284591.712 201754.647  29.1%  45.4  566s
 10704  9928 201754.647  238   11 284591.712 201754.647  29.1%  45.1  570s
 10861 10085 201754.647  253    9 284591.712 201754.647  29.1%  44.7  575s
 11001 10225 201754.647  265    9 284591.712 201754.647  29.1%  44.3  580s
