
Gurobi 12.0.3 (win64) logging started Sun Aug 23 23:23:50 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_agosto\Costo_variable\Swap_restringido\Swap_variable_3estaciones_320kW_Descomp\station_3_d32_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26872 rows, 53707 columns and 243987 nonzeros
Model fingerprint: 0x5a28b8a1
Variable types: 2099 continuous, 51608 integer (18485 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [3e-03, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25514 rows and 44922 columns
Presolve time: 0.15s
Presolved: 1358 rows, 8785 columns, 27985 nonzeros
Variable types: 216 continuous, 8569 integer (8164 binary)
Root relaxation presolved: 1358 rows, 8785 columns, 27985 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.283885e+05, 3820 iterations, 0.06 seconds (0.06 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 35265 34729 228959.441  117   34 311101.469 228959.441  26.4%  43.9 1060s
 35494 34958 228959.441  122    9 311101.469 228959.441  26.4%  43.9 1065s
 35722 35186 228959.441  122    7 311101.469 228959.441  26.4%  44.0 1070s
 35947 35411 231085.545  116   68 311101.469 228959.441  26.4%  43.9 1075s
 36128 35592 228959.441  117   22 311101.469 228959.441  26.4%  43.9 1080s
 36344 35808 228959.441  117   20 311101.469 228959.441  26.4%  44.0 1085s
 36566 36030 228959.441  108    7 311101.469 228959.441  26.4%  44.1 1090s
 36741 36205 228959.441  116    7 311101.469 228959.441  26.4%  44.1 1095s
 36961 36425 228959.441  125    7 311101.469 228959.441  26.4%  44.1 1100s
 37197 36661 228959.441  115    7 311101.469 228959.441  26.4%  44.2 1105s
 37399 36863 228959.441  123   18 311101.469 228959.441  26.4%  44.0 1110s
 37448 36912 228959.441  111    7 311101.469 228959.441  26.4%  44.0 1115s
 37673 37137 230915.259  124   68 311101.469 228959.441  26.4%  43.9 1120s
 37884 37348 228959.441  132   20 311101.469 228959.441  26.4%  44.1 1125s
 38103 37567 228959.441  118   24 311101.469 228959.441  26.4%  44.1 1130s
 38325 37789 228959.441  124    9 311101.469 228959.441  26.4%  44.0 1135s
 38554 38018 231070.590  120   68 311101.469 228959.441  26.4%  43.9 1140s
 38777 38241 231273.870  126   68 311101.469 228959.441  26.4%  43.9 1145s
 38994 38458 228959.441  122    7 311101.469 228959.441  26.4%  44.0 1150s
 39219 38683 231445.319  131   68 311101.469 228959.441  26.4%  43.8 1155s
 39441 38905 228959.441  112    7 311101.469 228959.441  26.4%  43.8 1160s
 39674 39138 231124.134  122   68 311101.469 228959.441  26.4%  43.8 1165s
 39901 39365 231366.331  116   68 311101.469 228959.441  26.4%  43.8 1170s
 40090 39554 228959.441  121   11 311101.469 228959.441  26.4%  43.8 1175s
 40329 39793 228959.441   83   13 311101.469 228959.441  26.4%  43.7 1180s
 40581 40045 228959.441  106    7 311101.469 228959.441  26.4%  43.6 1185s
 40833 40297 228959.441  125    9 311101.469 228959.441  26.4%  43.5 1190s
 40990 40454 228959.441  116    7 311101.469 228959.441  26.4%  43.7 1195s
 41239 40703 228959.441  122    7 311101.469 228959.441  26.4%  43.6 1200s

Cutting planes:
  Gomory: 6
  RLT: 1

Explored 41240 nodes (1823149 simplex iterations) in 1200.01 seconds (2400.21 work units)
Thread count was 1 (of 32 available processors)

Solution count 10: 311101 311112 358897 ... 361265

Time limit reached
Best objective 3.111014686814e+05, best bound 2.289594410466e+05, gap 26.4036%
