var,index,value,fractionality
Y,"('LH518B_2', 'C0562', 1, 1.0)",0.33794923808192595,0.33794923808192595
S,"('station_2', 1, 1.0)",0.3374997454727883,0.3374997454727883
Y,"('LH518B_1', 'C0612', 1, 105.0)",0.3371209159216813,0.3371209159216813
Y,"('LH518B_1', 'C0610', 1, 153.0)",0.33556003711764304,0.33556003711764304
Y,"('LH518B_1', 'C0584', 1, 153.0)",0.664439962882357,0.33556003711764304
Z,"('LH518B_9', 1, 142.0)",0.6667388117840461,0.33326118821595385
Y,"('LH518B_2', 'C0537', 1, 159.0)",0.32675209796427895,0.32675209796427895
Z,"('LH518B_2', 1, 159.0)",0.673247902035721,0.32675209796427895
Y,"('LH518B_12', 'N2602', 1, 146.0)",0.32633229079826537,0.32633229079826537
Y,"('LH518B_4', 'C0440', 1, 164.0)",0.32540318881416413,0.32540318881416413
S,"('station_3', 1, 1.0)",0.3210738567514643,0.3210738567514643
Y,"('LH518B_12', 'N2638', 1, 119.0)",0.6797190645111831,0.32028093548881686
Z,"('LH518B_12', 1, 119.0)",0.32028093548881686,0.32028093548881686
Y,"('LH518B_7', 'C0124', 1, 8.0)",0.6851851851851849,0.3148148148148151
Y,"('LH518B_5', 'C0316', 1, 13.0)",0.6851851851851849,0.3148148148148151
