
Gurobi 12.0.3 (win64) logging started Mon Sep  7 23:47:58 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_353\Costo_variable\Swap_libre\Swap_variable_3estaciones_160kW_Descomp\station_2_d335_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26358 rows, 54733 columns and 249676 nonzeros
Model fingerprint: 0x7ba45f82
Variable types: 2129 continuous, 52604 integer (19481 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [4e-03, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 23476 rows and 44287 columns
Presolve time: 0.27s
Presolved: 2882 rows, 10446 columns, 34356 nonzeros
Variable types: 824 continuous, 9622 integer (9084 binary)
Found heuristic solution: objective 546465.97195
Root relaxation presolved: 2882 rows, 10446 columns, 34356 nonzeros


Root relaxation: objective 1.787162e+05, 14007 iterations, 2.00 seconds (2.20 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  7236  6704 179412.938  536   24 284416.134 179412.938  36.9%  28.0  870s
  7284  6752 179412.938  560   12 284416.134 179412.938  36.9%  27.9  875s
  7315  6783 179412.938  613   14 284416.134 179412.938  36.9%  27.8  880s
  7356  6824 179412.938  596   12 284416.134 179412.938  36.9%  27.8  885s
  7397  6865 179412.938  654   16 284416.134 179412.938  36.9%  27.6  890s
  7444  6912 179412.938  640   12 284416.134 179412.938  36.9%  27.5  895s
  7494  6962 179412.938  665   12 284416.134 179412.938  36.9%  27.4  900s
  7547  7015 179412.938  729   14 284416.134 179412.938  36.9%  27.3  905s
  7591  7059 179412.938  751   14 284416.134 179412.938  36.9%  27.2  910s
  7641  7109 179412.938  776   20 284416.134 179412.938  36.9%  27.1  915s
  7689  7157 179412.938  800   20 284416.134 179412.938  36.9%  27.1  920s
  7716  7184 179412.938  776   16 284416.134 179412.938  36.9%  27.0  925s
  7756  7224 179412.938  796   14 284416.134 179412.938  36.9%  26.9  930s
  7802  7270 179412.938  819   12 284416.134 179412.938  36.9%  26.9  935s
H 7826  7292                    284401.42306 179412.938  36.9%  27.0  939s
  7826  7294 179412.938  831   16 284401.423 179412.938  36.9%  27.0  941s
H 7851  7317                    284207.69356 179412.938  36.9%  27.1  943s
H 7851  7317                    284191.25909 179412.938  36.9%  27.1  944s
  7851  7319 179412.938  881   20 284191.259 179412.938  36.9%  27.1  945s
  7887  7355 179412.938  899   16 284191.259 179412.938  36.9%  27.0  950s
  7936  7404 179412.938  886   18 284191.259 179412.938  36.9%  26.9  955s
  7986  7454 179412.938  911   18 284191.259 179412.938  36.9%  26.7  960s
  8022  7490 179412.938  929   14 284191.259 179412.938  36.9%  26.6  965s
