
Gurobi 12.0.3 (win64) logging started Mon Sep  7 02:22:26 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_482\Costo_variable\Swap_restringido\Swap_variable_3estaciones_320kW_Descomp\station_1_d121_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26902 rows, 53707 columns and 244558 nonzeros
Model fingerprint: 0x43483de8
Variable types: 2099 continuous, 51608 integer (18485 binary)
Coefficient statistics:
  Matrix range     [1e+00, 4e+02]
  Objective range  [8e-03, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25512 rows and 44919 columns
Presolve time: 0.12s
Presolved: 1390 rows, 8788 columns, 28693 nonzeros
Variable types: 216 continuous, 8572 integer (8166 binary)
Root relaxation presolved: 1390 rows, 8788 columns, 28693 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.166622e+05, 3411 iterations, 0.04 seconds (0.05 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 18780 18234 235936.790  175    9 280390.819 235936.790  15.9%   123  745s
 18923 18377 235936.790  179    9 280390.819 235936.790  15.9%   123  750s
 19056 18510 235936.790  173    9 280390.819 235936.790  15.9%   123  755s
 19195 18649 235936.790  179   27 280390.819 235936.790  15.9%   123  760s
 19320 18774 235936.790  180   21 280390.819 235936.790  15.9%   123  766s
 19421 18875 235936.790  180    9 280390.819 235936.790  15.9%   123  770s
 19551 19005 235936.790  170   12 280390.819 235936.790  15.9%   123  775s
 19704 19158 235936.790  183   29 280390.819 235936.790  15.9%   122  780s
 19834 19288 235936.790  182   15 280390.819 235936.790  15.9%   122  785s
 19954 19408 235936.790  180   22 280390.819 235936.790  15.9%   122  790s
 20063 19517 235936.790  176    9 280390.819 235936.790  15.9%   122  795s
 20190 19644 235936.790  178   25 280390.819 235936.790  15.9%   122  800s
 20229 19683 235936.790  180    9 280390.819 235936.790  15.9%   122  805s
 20391 19845 235936.790  181   25 280390.819 235936.790  15.9%   122  810s
 20532 19986 235936.790  179   19 280390.819 235936.790  15.9%   121  815s
 20676 20130 235936.790  173   11 280390.819 235936.790  15.9%   121  820s
 20838 20292 235936.790  181   11 280390.819 235936.790  15.9%   121  825s
 20988 20442 235936.790  180    9 280390.819 235936.790  15.9%   121  830s
 21082 20536 235936.790  179    9 280390.819 235936.790  15.9%   121  835s
 21162 20616 235936.790  180   11 280390.819 235936.790  15.9%   121  840s
 21309 20763 235936.790  181   16 280390.819 235936.790  15.9%   121  845s
 21469 20923 235936.790  182   20 280390.819 235936.790  15.9%   121  850s
 21562 21016 235936.790  183    9 280390.819 235936.790  15.9%   121  855s
 21675 21129 235936.790  177    9 280390.819 235936.790  15.9%   121  860s
 21786 21240 235936.790  184   17 280390.819 235936.790  15.9%   121  866s
 21866 21320 235936.790  184    9 280390.819 235936.790  15.9%   121  870s
 22009 21463 235936.790  180   16 280390.819 235936.790  15.9%   121  875s
 22149 21603 235936.790  176    9 280390.819 235936.790  15.9%   122  880s
 22192 21646 235936.790  180    9 280390.819 235936.790  15.9%   121  885s
 22326 21780 235936.790  178   22 280390.819 235936.790  15.9%   122  890s
 22474 21926 235936.790  170    9 280390.819 235936.790  15.9%   122  895s
 22620 22066 235936.790  182   20 280390.819 235936.790  15.9%   121  900s
