
Gurobi 12.0.3 (win64) logging started Mon Sep  7 00:15:07 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_353\Costo_variable\Swap_restringido\Swap_variable_3estaciones_640kW_Descomp\station_2_d91_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26932 rows, 54733 columns and 248399 nonzeros
Model fingerprint: 0x20af26cd
Variable types: 2129 continuous, 52604 integer (19481 binary)
Coefficient statistics:
  Matrix range     [1e+00, 6e+02]
  Objective range  [1e-02, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25355 rows and 45294 columns
Presolve time: 0.17s
Presolved: 1577 rows, 9439 columns, 29807 nonzeros
Variable types: 216 continuous, 9223 integer (8676 binary)
Root relaxation presolved: 1577 rows, 9439 columns, 29807 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.334233e+05, 4594 iterations, 0.07 seconds (0.07 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 13072 12530 233816.640  224   23 309128.314 233816.640  24.4%  75.2  735s
 13168 12626 233816.640  205   62 309128.314 233816.640  24.4%  77.3  740s
 13256 12714 233816.640  182   25 309128.314 233816.640  24.4%  79.8  745s
 13341 12799 233816.640  181   27 309128.314 233816.640  24.4%  82.0  750s
 13435 12893 233816.640  165   72 309128.314 233816.640  24.4%  84.3  755s
 13525 12983 233816.640  149   19 309128.314 233816.640  24.4%  85.5  760s
 13596 13054 233816.640  158   43 309128.314 233816.640  24.4%  87.4  765s
 13675 13133 233816.640  165   66 309128.314 233816.640  24.4%  89.5  770s
H13715 13171                    308724.00693 233816.640  24.3%  91.9  775s
 13779 13237 233816.640  105   21 308724.007 233816.640  24.3%  95.1  780s
 13867 13325 233816.640  168   50 308724.007 233816.640  24.3%  99.3  785s
 13939 13397 233816.640   36   33 308724.007 233816.640  24.3%   102  790s
 13971 13429 233816.640   36   26 308724.007 233816.640  24.3%   103  795s
 14055 13513 233816.640  146   29 308724.007 233816.640  24.3%   104  800s
 14146 13604 233816.640  117   23 308724.007 233816.640  24.3%   106  805s
 14232 13690 233816.640   41   27 308724.007 233816.640  24.3%   108  810s
 14274 13732 233816.640  146   26 308724.007 233816.640  24.3%   109  815s
 14362 13820 233816.640  104   24 308724.007 233816.640  24.3%   111  820s
 14452 13910 233816.640  139   24 308724.007 233816.640  24.3%   113  825s
 14534 13992 233816.640  111   51 308724.007 233816.640  24.3%   114  830s
 14555 14013 233816.640  102   25 308724.007 233816.640  24.3%   115  842s
 14593 14051 233816.640  170   53 308724.007 233816.640  24.3%   115  845s
 14686 14144 233816.640  143   27 308724.007 233816.640  24.3%   117  850s
 14779 14237 233816.640  167   56 308724.007 233816.640  24.3%   120  855s
 14867 14325 233846.255  166   89 308724.007 233816.640  24.3%   121  860s
 14956 14414 233816.640  173   29 308724.007 233816.640  24.3%   123  865s
 15048 14506 233816.640  140   28 308724.007 233816.640  24.3%   124  870s
 15135 14593 233816.640  145   29 308724.007 233816.640  24.3%   125  875s
 15248 14706 233931.236  193   82 308724.007 233816.640  24.3%   126  880s
 15319 14777 233816.640  172   11 308724.007 233816.640  24.3%   127  885s
 15441 14899 233927.407  186   83 308724.007 233816.640  24.3%   127  890s
 15543 15001 233923.871  178   86 308724.007 233816.640  24.3%   130  895s
 15633 15091 233816.640  174   19 308724.007 233816.640  24.3%   134  900s
 15781 15239 233816.640  190   11 308724.007 233816.640  24.3%   133  905s
H15952 15408                    234746.69447 233816.640  0.40%   132  910s

Cutting planes:
  Gomory: 12
  Lift-and-project: 1
  MIR: 4
  Flow cover: 18
  Relax-and-lift: 1

Explored 15953 nodes (2129977 simplex iterations) in 910.04 seconds (1394.40 work units)
Thread count was 1 (of 32 available processors)

Solution count 10: 234747 308724 309128 ... 310631

Optimal solution found (tolerance 5.00e-02)
Best objective 2.347466944732e+05, best bound 2.338166403691e+05, gap 0.3962%
