
Gurobi 12.0.3 (win64) logging started Tue Sep  8 00:42:19 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_353\Costo_variable\Swap_restringido\Swap_variable_3estaciones_320kW_Descomp\station_2_d244_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26932 rows, 54733 columns and 249097 nonzeros
Model fingerprint: 0x12a40d09
Variable types: 2129 continuous, 52604 integer (19481 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [8e-03, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25508 rows and 45396 columns
Presolve time: 0.26s
Presolved: 1424 rows, 9337 columns, 29413 nonzeros
Variable types: 216 continuous, 9121 integer (8776 binary)
Found heuristic solution: objective 727447.64774
Root relaxation presolved: 1424 rows, 9337 columns, 29413 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.269519e+05, 4222 iterations, 0.10 seconds (0.08 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 10992 10445 238245.392   80   19 363545.951 238245.392  34.5%  67.3  930s
 11059 10512 238245.392   77   19 363545.951 238245.392  34.5%  67.1  935s
 11126 10579 238245.392   77   19 363545.951 238245.392  34.5%  66.8  940s
 11192 10645 238245.392   83   15 363545.951 238245.392  34.5%  66.9  945s
 11253 10706 238245.392   84   14 363545.951 238245.392  34.5%  67.0  955s
 11325 10778 238245.392   90   17 363545.951 238245.392  34.5%  67.0  960s
 11391 10844 238245.392   85   15 363545.951 238245.392  34.5%  67.0  965s
 11457 10910 238245.392   77   15 363545.951 238245.392  34.5%  67.0  970s
 11524 10977 238245.392   84   27 363545.951 238245.392  34.5%  67.0  975s
 11593 11046 238245.392   89   19 363545.951 238245.392  34.5%  67.0  980s
 11657 11110 238245.392   78   15 363545.951 238245.392  34.5%  67.0  985s
 11726 11179 238245.392   80   19 363545.951 238245.392  34.5%  67.0  990s
 11792 11245 238245.392   78   15 363545.951 238245.392  34.5%  66.8  995s
 11860 11313 238245.392   86   14 363545.951 238245.392  34.5%  66.9 1000s
 11931 11384 238245.392   84   17 363545.951 238245.392  34.5%  67.0 1005s
 12002 11455 238245.392   80   15 363545.951 238245.392  34.5%  66.8 1010s
 12062 11515 238245.392   87   26 363545.951 238245.392  34.5%  66.8 1015s
 12135 11588 238245.392   76   22 363545.951 238245.392  34.5%  66.7 1020s
 12203 11656 238245.392   78   19 363545.951 238245.392  34.5%  66.7 1025s
 12278 11731 238245.392   87   15 363545.951 238245.392  34.5%  66.6 1030s
 12345 11798 238245.392   75   15 363545.951 238245.392  34.5%  66.7 1035s
 12413 11866 238245.392   90   15 363545.951 238245.392  34.5%  66.8 1040s
 12481 11934 238245.392   78   19 363545.951 238245.392  34.5%  66.8 1045s
 12549 12002 238245.392   84   17 363545.951 238245.392  34.5%  66.6 1052s
 12592 12045 238245.392   84   15 363545.951 238245.392  34.5%  66.6 1055s
 12656 12109 238245.392   81   30 363545.951 238245.392  34.5%  66.7 1060s
 12724 12177 238245.392   91   19 363545.951 238245.392  34.5%  66.8 1065s
 12791 12244 238245.392   84   24 363545.951 238245.392  34.5%  67.0 1070s
 12856 12309 238245.392   91   15 363545.951 238245.392  34.5%  67.0 1075s
 12925 12378 238245.392  102   25 363545.951 238245.392  34.5%  67.2 1080s
 12989 12440 238245.392  109   19 363545.951 238245.392  34.5%  67.3 1085s
H13008 12455                    363520.16273 238245.392  34.5%  67.3 1088s
 13008 12457 238245.392   96   15 363520.163 238245.392  34.5%  67.3 1090s
 13069 12516 238245.392  114   19 363520.163 238245.392  34.5%  67.4 1095s
 13138 12585 238245.392  101   27 363520.163 238245.392  34.5%  67.6 1100s
 13201 12648 238245.392   97   19 363520.163 238245.392  34.5%  67.8 1105s
 13267 12714 238245.392   98   15 363520.163 238245.392  34.5%  67.8 1110s
 13331 12778 238245.392   99   15 363520.163 238245.392  34.5%  67.7 1115s
